screen_time,sleep_hours,stress_level,mental_health_status,sleep_quality,productivity,wellness_index
12.36,8.01,Low,Good,,,
7.61,7.28,High,Poor,,,
3.16,8.04,High,Fair,,,
13.08,5.62,Medium,Excellent,,,
12.63,5.55,Low,Good,,,
1.34,8.61,Low,Poor,,,
9.78,8.61,Medium,Excellent,,,
8.14,7.11,Medium,Excellent,,,
6.02,7.19,Medium,Fair,,,
6.87,5.09,High,Excellent,,,
14.87,5.13,High,Poor,,,
13.68,8.57,Low,Fair,,,
10.65,7.9,High,Poor,,,
1.65,4.82,High,Excellent,,,
10.27,7.13,High,Poor,,,
5.08,8.53,Medium,Good,,,
11.4,4.62,High,Fair,,,
14.88,8.95,Low,Fair,,,
11.49,7.71,High,Excellent,,,
6.0,5.69,Medium,Good,,,
9.55,7.07,Low,Fair,,,
1.51,4.76,High,Fair,,,
2.83,4.01,Low,Poor,,,
9.8,5.83,Low,Excellent,,,
14.16,5.73,Medium,Poor,,,
3.03,4.85,Medium,Poor,,,
12.79,5.33,Medium,Poor,,,
14.72,8.37,High,Good,,,
5.36,5.36,Low,Excellent,,,
1.63,8.01,Medium,Excellent,,,
8.48,8.27,Low,Fair,,,
8.05,6.24,Medium,Fair,,,
5.32,4.4,High,Poor,,,
2.41,5.02,Low,Good,,,
1.69,7.1,Low,Fair,,,
13.89,5.77,Low,Poor,,,
11.1,7.98,Low,Poor,,,
12.79,4.47,Low,Good,,,
5.37,4.7,Low,Excellent,,,
14.2,6.98,High,Good,,,
1.22,6.7,Low,Fair,,,
13.84,7.59,Medium,Excellent,,,
14.35,5.0,High,Excellent,,,
14.03,5.73,Low,Good,,,
8.14,8.47,High,Poor,,,
8.76,4.46,High,Excellent,,,
2.75,4.38,Medium,Good,,,
1.78,6.58,Medium,Excellent,,,
6.9,8.02,Medium,Poor,,,
1.2,4.41,Low,Excellent,,,
5.84,4.35,High,Excellent,,,
7.22,8.96,High,Fair,,,
14.31,5.53,Medium,Excellent,,,
6.25,7.1,Medium,Good,,,
8.23,4.62,Medium,Fair,,,
9.01,7.35,High,Poor,,,
8.35,6.03,High,Fair,,,
5.94,8.2,Medium,Poor,,,
4.74,4.63,High,Fair,,,
8.57,8.6,Low,Fair,,,
2.4,4.08,Low,Poor,,,
5.66,5.37,Medium,Excellent,,,
12.86,8.64,Low,Poor,,,
13.36,6.16,Medium,Fair,,,
13.46,7.59,Medium,Good,,,
13.2,6.77,Low,Excellent,,,
6.4,4.13,High,Fair,,,
14.73,8.38,Low,Fair,,,
1.07,5.2,Medium,Good,,,
1.36,8.96,Medium,Poor,,,
8.34,7.89,Medium,Excellent,,,
13.61,4.39,Low,Good,,,
9.66,4.07,High,Excellent,,,
6.26,5.92,Low,Good,,,
2.37,5.48,Medium,Fair,,,
8.65,8.01,High,Poor,,,
1.2,6.43,Medium,Fair,,,
14.62,4.31,High,Excellent,,,
6.37,7.47,Medium,Poor,,,
13.77,7.61,Low,Excellent,,,
4.71,6.48,Medium,Good,,,
1.81,7.54,Medium,Poor,,,
8.02,4.78,Low,Poor,,,
1.13,7.5,Low,Excellent,,,
4.47,4.52,Low,Excellent,,,
9.26,6.63,High,Poor,,,
10.89,4.03,Medium,Fair,,,
6.69,8.13,High,Poor,,,
8.07,4.77,Medium,Fair,,,
1.02,4.99,High,Fair,,,
13.31,4.34,Medium,Good,,,
7.5,4.28,Low,Good,,,
6.95,8.23,Medium,Excellent,,,
3.87,5.11,Low,Good,,,
7.96,6.33,Medium,Poor,,,
10.28,7.69,Low,Poor,,,
11.19,6.68,Medium,Fair,,,
2.61,8.82,Medium,Good,,,
8.08,4.8,High,Poor,,,
14.71,5.17,Low,Excellent,,,
13.41,8.76,Low,Poor,,,
12.43,5.88,High,Good,,,
3.5,4.09,High,Poor,,,
6.53,4.79,Low,Excellent,,,
6.69,7.66,Medium,Fair,,,
6.73,7.72,Low,Fair,,,
6.88,8.33,Low,Fair,,,
2.1,8.24,Low,Excellent,,,
2.3,6.98,Low,Fair,,,
10.74,6.28,High,Good,,,
9.14,5.42,Low,Good,,,
11.45,8.71,Low,Excellent,,,
10.68,6.99,Medium,Fair,,,
7.94,8.55,High,Poor,,,
11.8,7.17,High,Good,,,
2.96,8.64,Medium,Excellent,,,
1.39,5.94,Medium,Good,,,
13.1,5.4,Low,Good,,,
